subset,instance,paper_id_hint,K,pool_size,request_length,capacity_vector,T_d
lion18s,SA01,SA1,4,50,2,10 10 10 10,10
lion18s,SA02,SA2,4,50,2,10 10 10 10,20
lion18s,SA03,SA3,4,50,2,10 10 10 10,50
lion18s,SA04,SA4,4,50,3,10 10 10 10,10
lion18s,SA05,SA5,4,50,3,10 10 10 10,20
lion18s,SA06,SA6,4,50,3,10 10 10 10,50
lion18s,SA07,SA7,4,50,2,20 20 20 20,10
lion18s,SA08,SA8,4,50,2,20 20 20 20,20
lion18s,SA09,SA9,4,50,2,20 20 20 20,50
lion18s,SA10,SA10,4,50,3,20 20 20 20,10
lion18s,SA11,SA11,4,50,3,20 20 20 20,20
lion18s,SA12,SA12,4,50,3,20 20 20 20,50
lion18s,SA13,SA13,4,1000,2,10 10 10 10,10
lion18s,SA14,SA14,4,1000,2,10 10 10 10,20
lion18s,SB01,SB1,8,50,2,10 10 10 10 10 10 10 10,10
lion18s,SB02,SB2,8,50,2,10 10 10 10 10 10 10 10,20
lion18s,SB03,SB3,8,50,4,10 10 10 10 10 10 10 10,10
lion18s,SB04,SB4,8,50,4,10 10 10 10 10 10 10 10,20
lion18s,SB05,SB5,8,50,4,10 10 10 10 10 10 10 10,50
lion18s,SB06,SB6,8,50,6,10 10 10 10 10 10 10 10,10
lion18s,SB07,SB7,8,50,6,10 10 10 10 10 10 10 10,20
lion18s,SB08,SB8,8,50,6,10 10 10 10 10 10 10 10,50
lion18s,SB09,SB9,8,50,4,10 10 10 10 10 10 10 10,10
lion18s,SB10,SB10,8,50,4,10 10 10 10 10 10 10 10,20
lion18s,SC01,SC1,12,50,4,10 10 10 10 10 10 10 10 10 10 10 10,5
lion18s,SC02,SC2,12,50,6,10 10 10 10 10 10 10 10 10 10 10 10,5
lion18s,SC03,SC3,12,50,8,10 10 10 10 10 10 10 10 10 10 10 10,5
lion18s,SC04,SC4,12,50,8,10 10 10 10 10 10 10 10 10 10 10 10,10
lion18s,SC05,SC5,12,50,8,10 10 10 10 10 10 10 10 10 10 10 10,20
lion18w,WA01,WA1,4,50,4,10 10 10 10,10
lion18w,WA02,WA2,4,50,4,10 10 10 10,20
lion18w,WA03,WA3,4,50,4,10 10 10 10,50
lion18w,WA04,WA4,4,50,4,20 20 20 20,10
lion18w,WA05,WA5,4,50,4,20 20 20 20,20
lion18w,WA06,WA6,4,50,4,20 20 20 20,50
lion18w,WA07,WA7,4,1000,4,10 10 10 10,10
lion18w,WA08,WA8,4,1000,4,10 10 10 10,20
lion18w,WB01,WB1,8,50,8,10 10 10 10 10 10 10 10,10
lion18w,WB02,WB2,8,50,8,10 10 10 10 10 10 10 10,20
lion18w,WB03,WB3,8,50,8,10 10 10 10 10 10 10 10,50
lion18w,WB04,WB4,8,50,8,10 10 10 10 10 10 10 10,10
lion18w,WB05,WB5,8,50,8,10 10 10 10 10 10 10 10,20
lion18w,WB06,WB6,8,50,8,20 20 20 20 20 20 20 20,10
lion18w,WB07,WB7,8,50,8,20 20 20 20 20 20 20 20,20
lion18w,WC01,WC1,12,50,12,10 10 10 10 10 10 10 10 10 10 10 10,10
lion18w,WC02,WC2,12,50,12,10 10 10 10 10 10 10 10 10 10 10 10,20
lion18w,WC03,WC3,12,50,12,10 10 10 10 10 10 10 10 10 10 10 10,50
lion18w,WC04,WC4,12,1000,12,10 10 10 10 10 10 10 10 10 10 10 10,10
lion18w,WC05,WC5,12,1000,12,10 10 10 10 10 10 10 10 10 10 10 10,20
lion18w,WC06,WC6,12,1000,12,10 10 10 10 10 10 10 10 10 10 10 10,50
wendtris,S-wendtris12D,S-wendtris12D,12,54,6,6 6 6 6 6 6 6 6 6 6 6 6,10
